tax_delinquency,cartodb_id,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,bbl,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address
,3454338,36085000600,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028320068,,4833450,NYC HOUSING AUTHORITY,277,1982,1,70 New Lane
,3454564,36085001700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5005690103,,1979100,VICTORY-FIEDLER HDFC,39,2011,1,150 Victory Boulevard
,3454657,36085000300,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000017502,,3325051,,57,2005,1,155 Bay Street
,3454841,36085002100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5004910011,,3637800,NYC HOUSING DEVELOPME,92,2011,1,40 Prospect Street
,3454852,36085002100,North Shore,City Council District 0,SI 01 - St. George/Stapleton,Staten Island,New York City,5004877502,,351901,,104,2014,1,8 Navy Pier Court
,3454855,36085002100,North Shore,City Council District 0,SI 01 - St. George/Stapleton,Staten Island,New York City,5004877501,,1385100,,467,2014,1,7 Navy Pier Court
,3454928,36005014300,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024260003,,189000,1104 CLAY AVENUE HOUS,11,1929,1,1104 Clay Avenue
,3454929,36005017500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024280009,,372600,NYC HOUSING AUTHORITY,17,1920,1,1064 Teller Avenue
,3454932,36005018500,Morrisania/Belmont,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2023860144,,2131650,LMKW WASHINGTON ASSOC,136,2004,1,1011 Washington Avenue
,3454936,36005014100,Morrisania/Belmont,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2023677501,,3473100,"THE DOE FUND, INC",85,2008,1,508 East 163 Street
,3454955,36005014300,Highbridge/South Concourse,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2024080052,1,8500500,COURTLANDT CRESCENT H,217,2012,1,383 East 162 Street
,3454956,36005014100,Morrisania/Belmont,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2023830039,,201150,HOUSING PRESERVATION,,,,425 East 161 Street
1,3455231,36005002500,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022810021,1,1601550,NYC HOUSING DEVELOPME,107,1972,4,428 East 137 Street
,3455238,36005002500,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022810060,1,1979550,NEW YORK CITY HOUSING,94,1931,4,431 East 136 Street
,3455240,36005001900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022600018,,108227,148 BRUCKNER LLC,8,1920,1,148 Bruckner Boulevard
,3455243,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022840062,1,755100,QUADRANT PROPERTIES H,85,1904,4,281 Brook Avenue
,3455252,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022830033,1,2983500,JUDGE GILBERT RAMIREZ,97,1983,1,455 East 138 Street
,3455260,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2023010005,,403566,"MPM338, LLC",8,2008,1,338 East 139 Street
,3455278,36005002500,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022650004,,110957,MHANY 2005 HOUSING DE,8,1915,1,496 East 138 Street
,3455292,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022850003,,184500,"WILLIS AVE. HOUSING,L",10,1931,1,306 Willis Avenue
,3455293,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022850002,1,130500,NYC HOUSING DEVELOPME,9,1931,1,304 Willis Avenue
,3455317,36005002300,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022980040,,12779550,NYC HOUSING AUTHORITY,709,1961,6,175 Willis Avenue
,3455323,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2023010007,,242100,342 EAST 139TH STREET,16,1931,1,342 East 139 Street
,3455489,36085002100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5004870100,,16132950,NYC PARKS,,1931,17,355 Front Street
1,3455673,36085000700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000130060,,3751650,SDF7 RICHMOND LLC,40,2012,1,224 Richmond Terrace
,3455727,36005002702,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025680060,1,291600,QUADRANT PROPERTIES H,34,1927,1,700 East 141 Street
,3455729,36005002702,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025660039,,274500,"BELLA VISTA, L.P.",20,1915,1,673 East 137 Street
,3455753,36005002702,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025520040,,1103400,DIEGO BEEKMAN MUTUAL,49,1920,1,283 Cypress Avenue
,3455755,36005002702,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025660018,1,911700,710 E. 138TH ST. BRON,19,1910,1,704 East 138 Street
,3455772,36005002702,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025660010,1,749700,DIEGO BEEKMAN MUTUAL,34,1920,2,690 East 138 Street
,3455788,36005002702,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025520004,,133200,POKO-ST ANNS L.P.,14,1910,1,282 St Anns Avenue
,3455790,36005003300,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025550030,1,834300,DIEGO BEEKMAN MUTUAL,38,1925,1,593 Oak Terrace
,3455792,36005002701,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025640005,1,353250,ACORN 2005 HOUSING DE,43,1926,1,674 East 136 Street
,3455800,36005003300,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2025550013,1,733950,DIEGO BEEKMAN MUTUAL,32,1925,1,592 Oak Terrace
,3455823,36085001100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000170074,,472050,MONTGOMERY DEVELOPMEN,11,2006,3,30 Montgomery Avenue
,3455840,36085000300,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000167501,,253278,,6,2006,1,55 Montgomery Avenue
,3455856,36085000700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000130008,1,4782600,NYC HOUSING DEVELOPME,454,1976,2,165 St Marks Place
,3455930,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022850069,1,246600,"MOTT HAVEN 140, LLC",20,1902,1,445 East 140 Street
,3455953,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022830048,1,826200,BROOK-SHARP REALTY LL,20,1905,1,488 East 139 Street
,3455954,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022830051,1,498600,BROOK-SHARP REALTY LL,15,1910,1,494 East 139 Street
,3455982,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022670003,,472950,BROOK-SHARP REALTY LL,15,1906,1,282 Brook Avenue
,3455991,36005003900,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022670002,,445500,BROOK-SHARP REALTY LL,15,1906,1,278 Brook Avenue
,3456016,36005002500,Mott Haven/Hunts Point,City Council District 8,BX 01 - Mott Haven/Melrose,Bronx,New York City,2022640011,,894150,BROOKHAVEN HOUSING D,35,1900,1,500 East 137 Street
